,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,containment,spl,contour,smape_weighted,mae_weighted,rmse_weighted,containment_weighted,contour_weighted,spl_weighted,TotalRuntimeSeconds,Score
63,99113c662389de9e35b8fa2ad4453e68,AverageValueNaive,"{""method"": ""Mean""}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""ClipOutliers"", ""1"": ""PowerTransformer"", ""2"": ""Detrend""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 3.5, ""fillna"": null}, ""1"": {}, ""2"": {""model"": ""Linear""}}}",0,1,23.728382298307604,882.5193251663062,882.8819394848931,1.0,13.189195581023235,1.0,23.728382298307604,882.5193251663062,882.8819394848931,1.0,1.0,13.189195581023235,1,281.97854821840673
64,9be381435460cde53a7cf03de9f119f3,AverageValueNaive,"{""method"": ""Mode""}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""SeasonalDifference"", ""1"": ""SinTrend""}, ""transformation_params"": {""0"": {""lag_1"": 12, ""method"": ""Mean""}, ""1"": {}}}",0,1,200.0,4309.53429429527,4309.611905118802,0.0,153.75867256952003,0.5,200.0,4309.53429429527,4309.611905118802,0.0,0.5,153.75867256952003,1,2204.4983155544055
65,9df5e771ba6e48f9d9c0b827e38afd3c,SeasonalNaive,"{""method"": ""LastValue"", ""lag_1"": 7, ""lag_2"": 364}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""RollingMeanTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Detrend"", ""3"": ""Slice""}, ""transformation_params"": {""0"": {""fixed"": true, ""window"": 3}, ""1"": {}, ""2"": {""model"": ""Linear""}, ""3"": {""method"": 100}}}",0,3,0.8491487662016176,34.820633746890856,36.80849850249848,0.6666666666666666,0.6739070561206483,0.8333333333333334,0.8491487662016176,34.820633746890856,36.80849850249848,0.6666666666666666,0.8333333333333334,0.6739070561206483,1,10.552653710425544
66,a041651687e29cbf1251a406203e5b1b,AverageValueNaive,"{""method"": ""Mean""}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""RobustScaler"", ""1"": ""CumSumTransformer"", ""2"": ""StandardScaler"", ""3"": ""MaxAbsScaler"", ""4"": ""QuantileTransformer"", ""5"": ""MinMaxScaler""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {""output_distribution"": ""uniform"", ""n_quantiles"": 1000}, ""5"": {}}}",0,1,193.78654974330894,131045.68014429494,222293.53167543188,0.3333333333333333,7443.007517662804,0.5,193.78654974330894,131045.68014429494,222293.53167543188,0.3333333333333333,0.5,7443.007517662804,1,20139.762398374827
67,a34e89fbe5d0c808519e16b0a80dd6c9,GLS,{},"{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""RollingMeanTransformer"", ""1"": ""QuantileTransformer"", ""2"": ""Detrend"", ""3"": ""Slice"", ""4"": ""MaxAbsScaler""}, ""transformation_params"": {""0"": {""fixed"": true, ""window"": 3}, ""1"": {""output_distribution"": ""uniform"", ""n_quantiles"": 1000}, ""2"": {""model"": ""Linear""}, ""3"": {""method"": 100}, ""4"": {}}}",0,1,0.7899467813828855,32.81222873263899,37.668594345838386,0.3333333333333333,1.8515801858083205,0.0,0.7899467813828855,32.81222873263899,37.668594345838386,0.3333333333333333,0.0,1.8515801858083205,1,11.029601592987905
68,a4c23d4841a1f5a82801ebc4b2466738,AverageValueNaive,"{""method"": ""Mean""}","{""fillna"": ""median"", ""transformations"": {""0"": ""QuantileTransformer"", ""1"": ""bkfilter"", ""2"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""output_distribution"": ""normal"", ""n_quantiles"": 1000}, ""1"": {}, ""2"": {}}}",0,1,0.8173177067480143,33.94302147210601,40.211077694144414,0.0,1.4033178782696416,1.0,0.8173177067480143,33.94302147210601,40.211077694144414,0.0,1.0,1.4033178782696416,1,10.998961409064629
69,a4cd88da95881c071295b7cc7abb120d,SeasonalNaive,"{""method"": ""LastValue"", ""lag_1"": 28, ""lag_2"": ""None""}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""RollingMeanTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Detrend""}, ""transformation_params"": {""0"": {""fixed"": true, ""window"": 3}, ""1"": {}, ""2"": {""model"": ""Linear""}}}",0,3,1.4317749980041026,58.261858244950965,63.38982087089021,0.1111111111111111,1.8560613247547826,0.3333333333333333,1.4317749980041026,58.261858244950965,63.38982087089021,0.1111111111111111,0.3333333333333333,1.8560613247547826,1,18.459438068693057
70,aae47b25bcba5912a041fd2eb924fdc2,ZeroesNaive,{},"{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""PowerTransformer"", ""2"": ""Slice""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {""method"": 100}}}",0,3,0.5855031654456178,24.172208737527807,25.917018745725112,0.0,1.0432662614278287,0.8333333333333334,0.5855031654456178,24.172208737527807,25.917018745725112,0.0,0.8333333333333334,1.0432662614278287,1,7.811980873357214
71,ab7c0f1c6a270c1fad72cb489e9a05e3,LastValueNaive,{},"{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""QuantileTransformer"", ""3"": ""Discretize""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {""output_distribution"": ""uniform"", ""n_quantiles"": 1000}, ""3"": {""discretization"": ""upper"", ""n_bins"": 20}}}",0,1,191.10174403323364,4064.818724872393,4064.8815750899425,0.0,114.09345478602118,1.0,191.10174403323364,4064.818724872393,4064.8815750899425,0.0,1.0,114.09345478602118,1,2073.7966043953015
72,ad3c11ecfb773e7d4bfcdf3272ed88c6,AverageValueNaive,"{""method"": ""Mean""}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 3, ""fillna"": null}}}",0,1,157.76572694910598,3669.0904621504883,3669.181587609722,0.0,106.44691140729957,0.0,157.76572694910598,3669.0904621504883,3669.181587609722,0.0,0.0,106.44691140729957,1,1743.9093668784567
