,Close
2021-04-19,14003.436111563211
2021-04-20,14005.780706476324
2021-04-21,14008.126494741764
2021-04-22,14010.473476966907
2021-04-23,14012.821653759465
2021-04-26,14019.873357623308
2021-04-27,14022.226318768735
